
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.ProcessBuilder.start(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.Runtime.exec(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.Runtime.exec(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.Runtime.exec(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at org.tanukisoftware.wrapper.demo.DemoApp.callAction(DemoApp.java:562)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at org.tanukisoftware.wrapper.demo.DemoApp.start(DemoApp.java:157)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4146)
INFO   | jvm 1    | 2014/11/15 10:46:01 | Caused by: java.io.IOException: CreateProcess error=2, The system cannot find the file specified
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.ProcessImpl.create(Native Method)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.ProcessImpl.<init>(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	at java.lang.ProcessImpl.start(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:01 | 	... 7 more
INFO   | jvm 1    | 2014/11/15 10:46:37 | java.io.IOException: Cannot run program "../bin/wrapper.exe": CreateProcess error=2, The system cannot find the file specified
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.ProcessBuilder.start(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.Runtime.exec(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.Runtime.exec(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.Runtime.exec(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at org.tanukisoftware.wrapper.demo.DemoApp.callAction(DemoApp.java:657)
